"article.title","journal.title","journal.volume","pageStart","pageEnd","publication.year","citation","abstract"
"A Virtual Space for Children to Meet and Practice Chinese","International Journal of Artificial Intelligence in Education","volume25","271","290","2015","Si, M. A Virtual Space for Children to Meet and Practice Chinese. Int J Artif Intell Educ 25, 271–290 (2015). https://doi.org/10.1007/s40593-014-0035-7","Second language acquisition after the students have learned their first language is a unique process. One major difference between learning a foreign language and one’s mother tongue is that second language learning is often facilitated with digital media, and in particular, through interacting with computers. This project is aimed at leveraging computer game technologies and Microsoft Kinect camera to create virtual learning environments suitable for children to practice their language and culture skills. We present a unique virtual environment that contextualizes the practice and engages the learners with narratives, encourages group work and leverages the power of embodied cognition in language learning. Our system has been deployed in an afterschool program for children from 6 to 8 years old. We report our evaluation results and reflections on the deployment process, followed by discussion and future work."
"Implementation and use of Simulated Students for Test and Validation of new Adaptive Educational Systems: a Practical Insight","International Journal of Artificial Intelligence in Education","volume25","319","345","2015","Dorça, F. Implementation and use of Simulated Students for Test and Validation of new Adaptive Educational Systems: a Practical Insight. Int J Artif Intell Educ 25, 319–345 (2015). https://doi.org/10.1007/s40593-015-0037-0","Studies attest that learning is facilitated if teaching strategies are in accordance with students learning styles, making learning process more effective and considerably improving students performances. In this context, one major research point – and a challenge – is to efficiently discover students’ learning styles. But, the test and validation of new approaches in this field requires substantial amounts of financial, human resources (tutors and students) and time. In this way, the use of simulated students for test and validation of new approaches in this field is very important. Therefore, this work depicts the implementation and use of simulation for empirical evaluation of three different strategies for automatic learning styles modelling. It was necessary to compare the efficiency of the strategies, in order to choose the best one. Therefore, it was needed a practical mechanism to evaluate and compare them, preferably without the engagement of human resources. Then, the main goal of using simulation in this work is to compare strategies’ efficiency and to discover the most promising one. The research was empirical, and has led to considerable enhancements on an intelligent component for automatic modelling of learning and teaching styles, which has been tested, adjusted and improved in a reasonable time and with low cost. The best strategy was clearly found, as depicted by experiments and results presented in this paper."
"A Measurement Model of Microgenetic Transfer for Improving Instructional Outcomes","International Journal of Artificial Intelligence in Education","volume25","346","379","2015","Pavlik, P.I., Yudelson, M. & Koedinger, K.R. A Measurement Model of Microgenetic Transfer for Improving Instructional Outcomes. Int J Artif Intell Educ 25, 346–379 (2015). https://doi.org/10.1007/s40593-015-0039-y","Efforts to improve instructional task design often make reference to the mental structures, such as “schemas” (e.g., Gick & Holyoak, 1983) or “identical elements” (Thorndike & Woodworth, 1901), that are common to both the instructional and target tasks. This component based (e.g., Singley & Anderson, 1989) approach has been employed in psychometrics (Tatsuoka, 1983), cognitive science (Koedinger & MacLaren, 2002), and most recently in educational data mining (Cen, Koedinger, & Junker, 2006). A typical assumption of these theory based models is that an itemization of “knowledge components” shared between tasks is sufficient to predict transfer between these tasks. In this paper we step back from these more cognitive theory based models of transfer and suggest a psychometric measurement model that removes most cognitive assumptions, thus allowing us to understand the data without the bias of a theory of transfer or domain knowledge. The goal of this work is to help provide a methodology that allows researchers to analyse complex data without the theoretical assumptions clearly part of other methods. Our experimentally controlled examples illustrate the non-intuitive nature of some transfer situations which motivates the necessity of the unbiased analysis that our model provides. We explain how to use this Contextual Performance Factors Analysis (CPFA) model to measure learning progress of related skills at a fine granularity. This CPFA analysis then allows us to answer questions regarding the best order of practice for related skills and the appropriate amount of repetition depending on whether students are succeeding or failing with each individual practice problem. We conclude by describing how the model allows us to test theories, in which we discuss how well two different cognitive theories agree with the qualitative results of the model."
"The Birth of IJAIED","International Journal of Artificial Intelligence in Education","volume26","4","12","2016","Self, J. The Birth of IJAIED. Int J Artif Intell Educ 26, 4–12 (2016). https://doi.org/10.1007/s40593-015-0040-5","This document tries to describe the events of the early days of AIED research that led to the AIED Conferences and Society and, in particular, the International Journal of Artificial Intelligence in Education."
"Computer-based Assessment of Collaborative Problem Solving: Exploring the Feasibility of Human-to-Agent Approach","International Journal of Artificial Intelligence in Education","volume25","380","406","2015","Rosen, Y. Computer-based Assessment of Collaborative Problem Solving: Exploring the Feasibility of Human-to-Agent Approach. Int J Artif Intell Educ 25, 380–406 (2015). https://doi.org/10.1007/s40593-015-0042-3","How can activities in which collaborative skills of an individual are measured be standardized? In order to understand how students perform on collaborative problem solving (CPS) computer-based assessment, it is necessary to examine empirically the multi-faceted performance that may be distributed across collaboration methods. Theaim of this study was to explore possible differences in student performance in humanto-agent (H-A), compared to human-to-human (H-H) CPS assessment tasks. One hundred seventy nine 14 years-old students from the United States, Singapore and Israel participated in the study. Students in both H-H and H-A modes were able to collaborate and communicate by using identical methods and resources. However, while in the H-A mode, students collaborated with a simulated computer-driven partner, and in the H-H mode students collaborated with another student to solve a problem. Overall, the findings showed that CPS with a computer agent involved significantly higher levels of shared understanding, progress monitoring, and feedback. However, no significant difference was found in a student’s ability to solve the problem or in student motivation with a computer agent or a human partner. One major implication of CPS score difference in collaboration measures between the two modes is that in H-A mode one can program a wider range of interaction possibilities than would be available with a human partner. Thus, H-A approach offers more opportunities for students to demonstrate their CPS skills. This study is among the first of its kind to investigate systematically the effect of collaborative problem solving in standardized assessment settings."
"Spendency: Students’ Propensity to Use System Currency","International Journal of Artificial Intelligence in Education","volume25","407","427","2015","Snow, E.L., Allen, L.K., Jackson, G.T. et al. Spendency: Students’ Propensity to Use System Currency. Int J Artif Intell Educ 25, 407–427 (2015). https://doi.org/10.1007/s40593-015-0044-1","Using students’ process data from the game-based Intelligent Tutoring System (ITS) iSTART-ME, the current study examines students’ propensity to use system currency to unlock game-based features, (i.e., referred to here as spendency). This study examines how spendency relates to students’ interaction preferences, in-system performance, and learning outcomes (i.e., self-explanation quality, comprehension). A group of 40 high school students interacted with iSTART-ME as part of an 11-session experiment (pretest, eight training sessions, posttest, and a delayed retention test). Students’ spendency was negatively related to the frequency of their use of personalizable features. In addition, students’ spendency was negatively related to their in-system achievements, daily learning outcomes, and performance on a transfer comprehension task, even after factoring out prior ability. The findings from this study indicate that increases in students’ spendency are systematically related to their selection choices and may have a negative effect on in-system performance, immediate learning outcomes, and skill transfer outcomes. The results have particular relevance to game-based systems that incorporate currency to unlock features within games as well as to the differential tradeoffs of game features on motivation and learning."
"Authoring Effective Embedded Tutors: An Overview of the Extensible Problem Specific Tutor (xPST) System","International Journal of Artificial Intelligence in Education","volume25","428","454","2015","Gilbert, S.B., Blessing, S.B. & Guo, E. Authoring Effective Embedded Tutors: An Overview of the Extensible Problem Specific Tutor (xPST) System. Int J Artif Intell Educ 25, 428–454 (2015). https://doi.org/10.1007/s40593-015-0045-0","The Extensible Problem Specific Tutor (xPST) allows authors who are not cognitive scientists and not programmers to quickly create an intelligent tutoring system that provides instruction akin to a model-tracing tutor. Furthermore, this instruction is overlaid on existing software, so that the learner’s interface does not have to be made from scratch. The xPST architecture allows for extending its capabilities by the addition of plug-ins that communicate with additional third-party software. After reviewing this general architecture, we describe three major implementations that we have created using the xPST system, each using different third-party software as the learner’s interface. We have conducted three evaluations of authors using xPST to create tutoring content, and these are considered in turn. These evaluations show that xPST authors can quickly learn the system, and can efficiently produce successful embedded instruction."
"A Multi-Temporal Context-aware System for Competences Management","International Journal of Artificial Intelligence in Education","volume25","455","492","2015","Rosa, J.H., Barbosa, J.L.V., Kich, M. et al. A Multi-Temporal Context-aware System for Competences Management. Int J Artif Intell Educ 25, 455–492 (2015). https://doi.org/10.1007/s40593-015-0047-y","The evolution of computing technology and wireless networks has contributed to the miniaturization of mobile devices and their increase in power, providing services anywhere and anytime. In this scenario, applications have considered the user’s contexts to make decisions (Context Awareness). Context-aware applications have enabled new opportunities in different areas, for example, education, games and entertainment, commerce, and competence management. In this article, we present MultCComp, a multi-temporal context-aware system for competences management. The main system contribution is to take advantage of the workers’ present and past contexts to help them to develop their competences. We define as multi-temporal context awareness the joint use of workers’ present and past contexts to assist them in the development of their competences. We developed a prototype and conducted two experiments with it in an evaluation environment. The first experiment aimed to demonstrate the system functionalities. It consisted of two evaluation scenarios that were followed by two users. The second experiment focused on evaluating the acceptance of the system. It comprised a scenario that was followed by 21 users, who filled out a questionnaire at the end of the test."
"Student Modeling Based on Problem Solving Times","International Journal of Artificial Intelligence in Education","volume25","493","519","2015","Pelánek, R., Jarušek, P. Student Modeling Based on Problem Solving Times. Int J Artif Intell Educ 25, 493–519 (2015). https://doi.org/10.1007/s40593-015-0048-x","Student modeling in intelligent tutoring systems is mostly concerned with modeling correctness of students’ answers. As interactive problem solving activities become increasingly common in educational systems, it is useful to focus also on timing information associated with problem solving. We argue that the focus on timing is natural for certain types of educational problems and we describe a simple model of problem solving times which assumes a linear relationship between a latent problem solving skill and a logarithm of a time to solve a problem. The model is closely related to models from two different areas: the item response theory and collaborative filtering. We describe two parameter estimation techniques for the model and several extensions – models with multidimensional skill, learning, or variability of performance. We describe an application of the proposed models in a widely used computerized practice system. Using both simulated data and real data from the system we evaluate the model, analyse its parameter values, and discuss the insight into problem difficulty which the model brings."
"Implementing CBM: SQL-Tutor After Fifteen Years","International Journal of Artificial Intelligence in Education","volume26","150","159","2016","Mitrovic, A., Ohlsson, S. Implementing CBM: SQL-Tutor After Fifteen Years. Int J Artif Intell Educ 26, 150–159 (2016). https://doi.org/10.1007/s40593-015-0049-9","SQL-Tutor is the first constraint-based tutor. The initial conference papers about the system were published in 1998 (Mitrovic 1998a, 1998b, 1998c), with an IJAIED paper published in 1999 (Mitrovic and Ohlsson, International Journal Artificial Intelligence in Education, 10(3–4), 238–256, 1999). We published another IJAIED paper in 2003, focussed on the Web-enabled version of the same system (Mitrovic, Artificial Intelligence in Education, 13(2–4), 173–197, 2003). In this paper, we discuss the reasons for developing the system, our experiences with the early versions, and also provide a history of later projects involving SQL-Tutor."
"The Negotiation of Meaning in Epistemic Situations","International Journal of Artificial Intelligence in Education","volume26","133","149","2016","Baker, M.J. The Negotiation of Meaning in Epistemic Situations. Int J Artif Intell Educ 26, 133–149 (2016). https://doi.org/10.1007/s40593-015-0050-3","This article is a commentary on a model for negotiation in teaching-learning dialogues (Baker 1994) that traces its origins and developments over the past 20 years. The first main section of the paper describes the research background out of which the model arose, within the credo of individualised tutoring of the 1980s. This is followed by a summary of the main elements of the model, then a presentation of its subsequent developments. These comprise the analysis of argumentation dialogue and its potential for collaborative learning, the analysis of interpersonal relations in relation to the interactive regulation of affect, and extensions of the model to other epistemic situations such as explanation generation, co-design, online epistemic discussions and use of communication interfaces in computer-supported collaborative learning environments. On these bases, the object of study of this research is defined as the processes of negotiation of meaning in epistemic situations. It is concluded that the main core of the model was retained, throughout its deepening and extension, but the underlying theory was radically changed, from cognitivist belief-systems to a view of dialogue itself as collective thinking. Two challenges for artificial intelligence and education research are raised: the formalisation of interpersonal relations as they are played out in social interaction, and the analysis of the processes of appropriation of discourse genres."
"Implementation of Motivational Tactics in Tutoring Systems: 20 years on","International Journal of Artificial Intelligence in Education","volume26","170","182","2016","du Boulay, B., del Soldato, T. Implementation of Motivational Tactics in Tutoring Systems: 20 years on. Int J Artif Intell Educ 26, 170–182 (2016). https://doi.org/10.1007/s40593-015-0052-1","This paper describes the development and evaluation of a system called MORE (Motivational Reactive Plan) in the 1990s, designed with an explicit strategy to manage the learner’s motivation on a minute-by-minute basis. Progress since the system was evaluated is outlined and our current thinking on the larger issues of the role that the learner’s values play in motivation as well as issues around “learning how to learn” and meta-motivation is sketched."
"Twenty Years on: Reflections on “Supporting the Use of External Representations in Problem Solving”…","International Journal of Artificial Intelligence in Education","volume26","193","204","2016","Cox, R., Brna, P. Twenty Years on: Reflections on “Supporting the Use of External Representations in Problem Solving”…. Int J Artif Intell Educ 26, 193–204 (2016). https://doi.org/10.1007/s40593-015-0054-z","We reflect upon a paper we wrote that was published in 1995 (20 years ago). We outline the motivation for the work and situate it in the state of the art at that time. We suggest that a key contribution was to highlight the need to provide support for learners who reason with external representations. The support must be flexible enough to accommodate wide individual differences in representational knowledge. In 1995 we saw AIED systems as potentially having several roles; one key role was to enable the learner to move easily from one external representation (ER) to a different one (switching ERs). Other necessary roles included: to seek to use AI to keep several forms of ER in synchrony as the student works on one of them; to guide the student to one ER form (out of several) most likely to be of use; and to help the student use an ER effectively. We outline where our work seems to have had influence and we review progress in the field since 1995. In our conclusion we identify future research agendas that emerge from recent developments in cognitive science."
"Research-Based Design of Pedagogical Agent Roles: a Review, Progress, and Recommendations","International Journal of Artificial Intelligence in Education","volume26","160","169","2016","Kim, Y., Baylor, A.L. Research-Based Design of Pedagogical Agent Roles: a Review, Progress, and Recommendations. Int J Artif Intell Educ 26, 160–169 (2016). https://doi.org/10.1007/s40593-015-0055-y","In this paper we review the contribution of our original work titled “Simulating Instructional Roles Through Pedagogical Agents” published in the International Journal of Artificial Intelligence and Education (Baylor and Kim in Computers and Human Behavior, 25(2), 450–457, 2005). Our original work operationalized three instructional roles as simulated through pedagogical agents, and demonstrated the effectiveness of these agent roles on learning and motivation. Since the publication of our work, pedagogical agent research has expanded its scope from the provision of intelligent guidance to a broad interest in agents’ social and affective support for learners. We discuss current progress in pedagogical agent roles and capabilities, and speculate about the future of agent role design. We expect that optimizing the roles of artificial beings including on-screen agents and robots will continue to interest the educational technology community as these technologies continue to evolve."
"Regulative Loops, Step Loops and Task Loops","International Journal of Artificial Intelligence in Education","volume26","107","112","2016","VanLehn, K. Regulative Loops, Step Loops and Task Loops. Int J Artif Intell Educ 26, 107–112 (2016). https://doi.org/10.1007/s40593-015-0056-x","This commentary suggests a generalization of the conception of the behavior of tutoring systems, which the target article characterized as having an outer loop that was executed once per task and an inner loop that was executed once per step of the task. A more general conception sees these two loops as instances of regulative loops, which repeatedly compare students’ performances to a gold standard and give advice on how to bring that performance closer to the standard."
"Adapting Progress Feedback and Emotional Support to Learner Personality","International Journal of Artificial Intelligence in Education","volume26","877","931","2016","Dennis, M., Masthoff, J. & Mellish, C. Adapting Progress Feedback and Emotional Support to Learner Personality. Int J Artif Intell Educ 26, 877–931 (2016). https://doi.org/10.1007/s40593-015-0059-7","As feedback is an important part of learning and motivation, we investigate how to adapt the feedback of a conversational agent to learner personality (as well as to learner performance, as we expect an interaction effect between personality and performance on feedback). We investigate two aspects of feedback. Firstly, we investigate whether the conversational agent should employ a slant (or bias) in its feedback on particular test scores to motivate a learner with a particular personality trait more effectively (for example, using “you are slightly below expectations” versus “you are substantially below expectations” depending on learner conscientiousness). Secondly, we investigate which emotional support messages the conversational agent should use (for example: using praise, emotional reflection, reassurance or advice) given learner personality and performance. We investigate the adaptation of this feedback to a learner personality, in particular the traits in the Five Factor Model. Five experiments were run where participants gave progress feedback and emotional support to students with different personalities and test scores. The type of emotional support given varied between different personalities (e.g. neurotic individuals with poor grades received more emotional reflection). Two algorithms were created using different methods to describe the adaptations and evaluated on how well they described the experimental data using DICE scores. A refined algorithm was created based on the results. Finally, we ran a qualitative study with teachers to investigate the algorithm’s effectiveness and further refine the algorithm."
"Computer-Based Interaction Analysis with DEGREE Revisited","International Journal of Artificial Intelligence in Education","volume26","113","123","2016","Barros, B., Verdejo, M.F. Computer-Based Interaction Analysis with DEGREE Revisited. Int J Artif Intell Educ 26, 113–123 (2016). https://doi.org/10.1007/s40593-015-0063-y","We review our research with DEGREE and analyse how our work has impacted the collaborative learning community since 2000. Our research is framed within the context of computer-based interaction analysis and the development of computer-supported collaborative learning (CSCL) tools. We identify some aspects of our work which have been followed up by other researchers and highlight some issues that remain pending. Finally we present a perspective of computer-based interaction analysis evolution in relation to a wider technological enhanced learning context."
"Delayed Learning Effects with Erroneous Examples: a Study of Learning Decimals with a Web-Based Tutor","International Journal of Artificial Intelligence in Education","volume25","520","542","2015","McLaren, B.M., Adams, D.M. & Mayer, R.E. Delayed Learning Effects with Erroneous Examples: a Study of Learning Decimals with a Web-Based Tutor. Int J Artif Intell Educ 25, 520–542 (2015). https://doi.org/10.1007/s40593-015-0064-x","Erroneous examples – step-by-step problem solutions with one or more errors for students to find and fix – hold great potential to help students learn. In this study, which is a replication of a prior study (Adams et al. 2014), but with a much larger population (390 vs. 208), middle school students learned about decimals either by working with interactive, web-based erroneous examples or with more traditional supported problems to solve. The erroneous examples group was interactively prompted to find, explain, and fix errors in decimal problems, while the problem-solving group was prompted to solve the same decimal problems and explain their solutions. Both groups were given correctness feedback on their work by the web-based program. Although the two groups did not differ on an immediate post-test, the erroneous examples group performed significantly better on a delayed test, given a week after the initial post-test (d<U+2009>=<U+2009>.33, for gain scores), replicating the pattern of the prior study. Interestingly, the problem solving group reported liking the intervention more than the erroneous examples group (d<U+2009>=<U+2009>.21 for liking rating in a questionnaire) and found the user interface easier to interact with (d<U+2009>=<U+2009>.37), suggesting that what students like does not always lead to the best learning outcomes. This result is consistent with that of desirable difficulty studies, in which a more cognitively challenging learning task results in deeper and longer-lasting learning."
